type,data,info
url_path,/dash/send-jobs/{id}/pause,Kali365 API call to POST request for Pause send job
url_path,/dash/send-jobs/{id}/resume,Kali365 API call to POST request for Resume send job
url_path,/dash/send-jobs/{id}/cancel,Kali365 API call to POST request for Cancel send job
url_path,/dash/send-jobs/{id}/delete,Kali365 API call to POST request for Delete send job
url_path,/dash/contacts/{id}/harvest/start,Kali365 API call to POST request for Start email address harvest from victim mailbox
url_path,/dash/contacts/{id}/harvest/status/{jobId},Kali365 API call to GET request for Poll harvest job status
url_path,/dash/contacts/{id}/harvest/cancel/{jobId},Kali365 API call to POST request for Cancel harvest job
url_path,/dash/contacts/verify-emails,Kali365 API call to POST request for Verify harvested email addresses
url_path,/dash/contacts/classify-domains,Kali365 API call to POST request for Classify email domains (B2B targeting)
url_path,/dash/keywords,Kali365 API call to GET request for List keyword monitors
url_path,/dash/keywords/add,Kali365 API call to POST request for Add keyword monitor
url_path,/dash/keywords/{id}/toggle,Kali365 API call to POST request for Enable/disable keyword
url_path,/dash/keywords/{id}/delete,Kali365 API call to POST request for Delete keyword
url_path,/dash/keywords/alerts,Kali365 API call to GET request for Fetch keyword alerts (limit param)
url_path,/dash/keywords/alerts/clear,Kali365 API call to POST request for Clear all keyword alerts
url_path,/dash/mfa/{tokenId}/org-users,Kali365 API call to GET request for Enumerate org users (requires admin token)
url_path,/dash/mfa/scan,Kali365 API call to POST request for Scan captured tokens for admin privileges
url_path,/dash/mfa/cached,Kali365 API call to GET request for Fetch cached scan results
url_path,/dash/mfa/{tokenId}/user/{userId}/toggle,Kali365 API call to POST request for Enable/disable org user MFA
url_path,/dash/mfa/{tokenId}/user/{userId}/reset-password,Kali365 API call to POST request for Reset org user password
url_path,/dash/mfa/{id}/user/{uid}/add-rule,Kali365 API call to POST request for Add inbox rule to org user's mailbox (via admin token)
url_path,/dash/mfa/{id}/user/{uid}/mailbox,Kali365 API call to GET request for Read org user's mailbox directly
url_path,/dash/mfa/{id}/user/{uid}/message/{mid},Kali365 API call to GET request for Read specific message from org user's mailbox
url_path,/dash/mfa/{id}/user/{uid}/rules,Kali365 API call to GET request for List inbox rules for org user
url_path,/dash/mfa/{id}/user/{uid}/rules,Kali365 API call to POST request for Create inbox rule
url_path,/dash/mfa/{id}/user/{uid}/rules/{rid},Kali365 API call to DELETE request for Delete inbox rule
url_path,/dash/linked-domains,Kali365 API call to GET request for List linked domains
url_path,/dash/linked-domains/add,Kali365 API call to POST request for Add domain (w/ CF zone ID&#x2c; API token&#x2c; Turnstile keys)
url_path,/dash/linked-domains/turnstile/{id},Kali365 API call to POST request for Update Turnstile settings for domain
url_path,/dash/linked-domains/delete/{id},Kali365 API call to POST request for Remove linked domain
url_path,/dash/linked-domains/provision-ssl/{id},Kali365 API call to GET request for Provision SSL for linked domain
url_path,/dash/linked-domains/verify/{id},Kali365 API call to GET request for Verify domain DNS propagation
url_path,/dash/workers/list,Kali365 API call to GET request for List deployed Cloudflare Workers
url_path,/dash/workers/credentials,Kali365 API call to GET request for List CF credentials (email&#x2c; API key&#x2c; zone)
url_path,/dash/workers/credentials,Kali365 API call to POST request for Add Cloudflare credentials
url_path,/dash/workers/credentials/{id}/delete,Kali365 API call to POST request for Delete CF credentials
url_path,/dash/workers/{id}/delete,Kali365 API call to POST request for Delete CF Worker
url_path,/dash/my-worker,Kali365 API call to GET request for Cloudflare Worker status
url_path,/dash/my-worker/setup,Kali365 API call to POST request for Link CF account (body: {cf_email&#x2c; cf_api_key})
url_path,/dash/my-worker/rotate,Kali365 API call to POST request for Rotate deployed worker
url_path,/dash/my-worker/delete,Kali365 API call to POST request for Delete worker
url_path,/dash/marketplace/credits,Kali365 API call to GET request for Credit balance
url_path,/dash/marketplace/search-domain,Kali365 API call to POST request for Search available domains for purchase
url_path,/dash/marketplace/buy-domain,Kali365 API call to POST request for Purchase domain (deducts credits)
url_path,/dash/marketplace/my-domains,Kali365 API call to GET request for List purchased domains
url_path,/dash/ai-template,Kali365 API call to POST request for AI-generated phishing email template
url_path,/dash/html-to-pdf,Kali365 API call to POST request for Convert HTML email body to PDF attachment
url_path,/dash/help-videos,Kali365 API call to GET request for Tutorial video list
url_path,/dash/help-videos/upload,Kali365 API call to POST request for Upload tutorial video (multipart)
url_path,/dash/help-videos/{id},Kali365 API call to DELETE request for Delete tutorial video
url_path,/dash/outlook/{id},Kali365 API call to GET request for Server-rendered Outlook webmail proxy — opened via window.open
url_path,/dash/bec/analyze,Kali365 API call to POST request for AI BEC analysis (body: {token_id&#x2c; message_id})
url_path,/dash/bec/threads,Kali365 API call to GET request for List active BEC conversation threads
url_path,/dash/bec/drafts,Kali365 API call to GET request for Fetch AI-drafted reply (param: thread_id)
url_path,/dash/bec/regenerate,Kali365 API call to POST request for Regenerate draft (body: {thread_id&#x2c; instructions})
url_path,/dash/bec/delete,Kali365 API call to POST request for Delete BEC thread (body: thread_id)
url_path,/dash/exchange/tokens,Kali365 API call to GET request for List tokens with Exchange admin capability
url_path,/dash/exchange/{id}/connectors,Kali365 API call to GET request for List Exchange mail connectors (param: type)
url_path,/dash/exchange/{id}/connectors,Kali365 API call to POST request for Create mail connector (rogue SMTP relay injection)
url_path,/dash/exchange/{id}/connectors,Kali365 API call to DELETE request for Delete connector (body: {identity&#x2c; type})
url_path,/dash/exchange/{id}/rules,Kali365 API call to GET request for List Exchange transport (mail flow) rules
url_path,/dash/exchange/{id}/rules,Kali365 API call to DELETE request for Delete transport rule (body: identity)
url_path,/dash/exchange/{id}/domains,Kali365 API call to GET request for List tenant accepted domains
url_path,/dash/exchange/{id}/mailboxes,Kali365 API call to GET request for Enumerate tenant mailboxes (param: q)
url_path,/dash/exchange/{id}/dkim,Kali365 API call to GET request for Read DKIM signing config per domain
url_path,/dash/exchange/{id}/dkim,Kali365 API call to POST request for Toggle DKIM signing (body: {domain&#x2c; enabled})
url_path,/dash/exchange/{id}/org,Kali365 API call to GET request for Org-level Exchange configuration
url_path,/dash/credentials/scan,Kali365 API call to POST request for Scan token mailboxes for credentials (body: {token_ids[]&#x2c; scan_all_active})
url_path,/dash/credentials/status,Kali365 API call to GET request for Poll scan status (param: token_ids comma-separated)
url_path,/dash/credentials/list,Kali365 API call to GET request for List found credentials (optional param: token_id)
url_path,/dash/credentials/reveal,Kali365 API call to GET request for Retrieve plaintext credential value (param: id)
url_path,/dash/credentials/delete,Kali365 API call to POST request for Delete credential record (body: id)
url_path,/dash/highvalue,Kali365 API call to GET request for High-value email list (params: category&#x2c; limit)
url_path,/dash/highvalue/stats,Kali365 API call to GET request for Count breakdown by category
